kind,id,name,field,value,raw_value
character,crazy,Crazy,stats,"+100 Range with Precise weapons
+25% Attack Speed
You start with 1 Knife
-30% Dodge
-10 Engineering
-10 Ranged Damage","<span style=""color:rgb(0,255,0);"">+100 Range</span> with <span style=""color:rgb(0,255,0);"">Precise</span> weapons<br><span style=""color:rgb(0,255,0);"">+25%</span> Attack Speed<br>You start with <span style=""color:rgb(0,255,0);"">1 Knife</span><br><span style=""color:rgb(244,0,0);"">-30%</span> Dodge<br><span style=""color:rgb(244,0,0);"">-10</span> Engineering<br><span style=""color:rgb(244,0,0);"">-10</span> Ranged Damage"
character,crazy,Crazy,unlock_type,Item,Item
character,crazy,Crazy,unlocked_by,Unlocked by default,Unlocked by default
character,crazy,Crazy,unlocks,Hunting Trophy,Hunting Trophy
character,crazy,Crazy,wanted_tags,"Crit Chance, Melee Damage","[[Crit Chance]], [[Melee Damage]]"
character,ranger,Ranger,is_dlc,-,-
character,ranger,Ranger,starting_weapons,"Pistol,SMG,Revolver,Double Barrel Shotgun,Laser Gun,Shredder,Crossbow,Slingshot","Pistol,SMG,Revolver,Double Barrel Shotgun,Laser Gun,Shredder,Crossbow,Slingshot"
character,ranger,Ranger,stats,"+50 Range
You start with 1 Pistol
Ranged Damage modifications are increased by 50%
You can't equip melee weapons
Max HP modifications are reduced by 25%","<span style=""color:rgb(0,255,0);"">+50</span> Range<br>You start with <span style=""color:rgb(0,255,0);"">1 Pistol</span><br><span style=""color:rgb(0,255,0);"">Ranged Damage</span> modifications are increased by <span style=""color:rgb(0,255,0);"">50%</span><br>You can't equip melee weapons<br><span style=""color:rgb(244,0,0);"">Max HP</span> modifications are reduced by <span style=""color:rgb(244,0,0);"">25%</span>"
character,ranger,Ranger,unlock_type,Item,Item
character,ranger,Ranger,unlocked_by,Unlocked by default,Unlocked by default
character,ranger,Ranger,unlocks,Night Goggles,Night Goggles
character,ranger,Ranger,wanted_tags,"Ranged Damage, Range","[[Ranged Damage]], [[Range]]"
character,mage,Mage,is_dlc,-,-
character,mage,Mage,starting_weapons,"Wand,Torch,Plank,Taser,Lightning Shiv,Icicle,SMG,Double Barrel Shotgun","Wand,Torch,Plank,Taser,Lightning Shiv,Icicle,SMG,Double Barrel Shotgun"
character,mage,Mage,stats,"Elemental Damage modifications are increased by 25%
You start with 1 Snake
You start with 1 Scared Sausage
Melee Damage Modifications are reduced by -100%
Ranged Damage Modifications are reduced by -100%
Engineering Modifications are reduced by -50%","<span style=""color:rgb(0,255,0);"">Elemental Damage</span> modifications are increased by <span style=""color:rgb(0,255,0);"">25%</span><br>You start with <span style=""color:rgb(0,255,0);"">1 Snake</span><br>You start with <span style=""color:rgb(0,255,0);"">1 Scared Sausage</span><br> <span style=""color:rgb(244,0,0);"">Melee Damage</span> Modifications are reduced by <span style=""color:rgb(244,0,0);"">-100%</span> <br><span style=""color:rgb(244,0,0);"">Ranged Damage</span> Modifications are reduced by <span style=""color:rgb(244,0,0);"">-100%</span> <br>
    <span style=""color:rgb(244,0,0);"">Engineering</span> Modifications are reduced by <span style=""color:rgb(244,0,0);"">-50%</span>"
character,mage,Mage,unlock_type,Weapon,Weapon
character,mage,Mage,unlocked_by,Unlocked by default,Unlocked by default
character,mage,Mage,unlocks,Thunder Sword,Thunder Sword
character,mage,Mage,wanted_tags,Elemental Damage,[[Elemental Damage]]
character,chunky,Chunky,is_dlc,-,-
character,chunky,Chunky,starting_weapons,"Fist,Cacti Club,Rock,Stick,Torch,Plank,Chopper,Pruner,Spiky Shield,Double Barrel Shotgun,Taser,Ghost Scepter,Shredder,Revolver,Spoon","Fist,Cacti Club,Rock,Stick,Torch,Plank,Chopper,Pruner,Spiky Shield,Double Barrel Shotgun,Taser,Ghost Scepter,Shredder,Revolver,Spoon"
character,chunky,Chunky,stats,"Max HP modifications are increased by 25%
+1% Damage for every 3 Max HP you have
+3 HP recovered from consumables
-100% Life Steal
HP Regeneration modifications are reduced by 50%
Dodge modifications are reduced by 50%
Speed modifications are reduced by 100%","<span style=""color:rgb(0,255,0);"">Max HP</span> modifications are increased by <span style=""color:rgb(0,255,0);"">25%</span><br> <span style=""color:rgb(0,255,0);"">+1%</span> Damage for every <span style=""color:rgb(0,255,0);"">3 Max HP</span> you have<br><span style=""color:rgb(0,255,0);"">+3</span> HP recovered from consumables<br><span style=""color:rgb(244,0,0);"">-100%</span> Life Steal<br><span style=""color:rgb(244,0,0);"">HP Regeneration</span> modifications are reduced by <span style=""color:rgb(244,0,0);"">50%</span><br> <span style=""color:rgb(244,0,0);"">Dodge</span> modifications are reduced by <span style=""color:rgb(244,0,0);"">50%</span><br><span style=""color:rgb(244,0,0);"">Speed</span> modifications are reduced by <span style=""color:rgb(244,0,0);"">100%</span>"
character,chunky,Chunky,unlock_type,Weapon,Weapon
character,chunky,Chunky,unlocked_by,Die for the first time,Die for the first time
character,chunky,Chunky,unlocks,Potato Thrower,Potato Thrower
character,chunky,Chunky,wanted_tags,"Max HP, Luck, Consumable","[[Max HP]], [[Luck]], [[Consumable]]"
character,old,Old,is_dlc,-,-
character,old,Old,starting_weapons,"Scissors,Screwdriver,Wrench,Rock,Plank,Chopper,Pruner,Double Barrel Shotgun,Revolver,Taser,Wand,Icicle,Lute,Sickle","Scissors,Screwdriver,Wrench,Rock,Plank,Chopper,Pruner,Double Barrel Shotgun,Revolver,Taser,Wand,Icicle,Lute,Sickle"
character,old,Old,stats,"-25% Enemy speed
+10 Harvesting
-33%Map Size
-10% Enemies
-10% Speed","<span style=""color:rgb(0,255,0);"">-25%</span> Enemy speed<br><span style=""color:rgb(0,255,0);"">+10</span> Harvesting<br>-33%Map Size<br>-10% Enemies<br><span style=""color:rgb(244,0,0);"">-10%</span> Speed"
character,old,Old,unlock_type,Item,Item
character,old,Old,unlocked_by,Kill 300 enemies,Kill 300 enemies
character,old,Old,unlocks,Snail,Snail
character,old,Old,wanted_tags,"Less Enemies, Less Enemy Speed","[[Less Enemies]], [[Less Enemy Speed]]"
character,lucky,Lucky,is_dlc,-,-
character,lucky,Lucky,starting_weapons,"Stick,Rock,Fist,Chopper,Plank,Screwdriver,Jousting Lance,Torch,Pruner,Slingshot,Wand,Icicle,Lute,Flute","Stick,Rock,Fist,Chopper,Plank,Screwdriver,Jousting Lance,Torch,Pruner,Slingshot,Wand,Icicle,Lute,Flute"
character,lucky,Lucky,stats,"+100 Luck
Luck modifications are increased by 25%
+75% chance to deal 1 (15%Luck) damage to a random enemy when you pick up a material
-60% Attack Speed
-50% XP Gain","<span style=""color:rgb(0,255,0);"">+100</span> Luck<br><span style=""color:rgb(0,255,0);"">Luck</span> modifications are increased by <span style=""color:rgb(0,255,0);"">25%</span><br><span style=""color:rgb(0,255,0);"">+75%</span> chance to deal <span style=""color:rgb(0,255,0);"">1</span> (15%Luck) damage to a random enemy when you pick up a material<br><span style=""color:rgb(244,0,0);"">-60%</span> Attack Speed<br><span style=""color:rgb(244,0,0);"">-50%</span> XP Gain"
character,lucky,Lucky,unlock_type,Item,Item
character,lucky,Lucky,unlocked_by,Collect 300 materials,Collect 300 materials
character,lucky,Lucky,unlocks,Lucky Charm,Lucky Charm
character,lucky,Lucky,wanted_tags,"Luck, Pickup, Exploration","[[Luck]], [[Pickup]], [[Exploration]]"
character,mutant,Mutant,is_dlc,-,-
character,mutant,Mutant,starting_weapons,"Cacti Club,Ghost Axe,Stick,Quarterstaff,Rock,Plank,Lightning Shiv,Double Barrel Shotgun,SMG,Revolver,Shredder,Crossbow,Taser,Wand,Icicle,Brick","Cacti Club,Ghost Axe,Stick,Quarterstaff,Rock,Plank,Lightning Shiv,Double Barrel Shotgun,SMG,Revolver,Shredder,Crossbow,Taser,Wand,Icicle,Brick"
character,mutant,Mutant,stats,"-66% XP required to level up
+50% Items Price","<span style=""color:rgb(0,255,0);"">-66%</span> XP required to level up<br><span style=""color:rgb(244,0,0);"">+50%</span> Items Price"
character,mutant,Mutant,unlock_type,Item,Item
character,mutant,Mutant,unlocked_by,Kill 2000 enemies,Kill 2000 enemies
character,mutant,Mutant,unlocks,Octopus,Octopus
character,mutant,Mutant,wanted_tags,XP Gain,[[XP Gain]]
character,generalist,Generalist,is_dlc,-,-
character,generalist,Generalist,starting_weapons,"Fist,Cacti Club,Ghost Axe,Ghost Flint,Lightning Shiv,Knife,Scissors,Spear,Shuriken,Double Barrel Shotgun,SMG,Shredder,Revolver,Laser Gun,Slingshot,Ghost Scepter,Javelin","Fist,Cacti Club,Ghost Axe,Ghost Flint,Lightning Shiv,Knife,Scissors,Spear,Shuriken,Double Barrel Shotgun,SMG,Shredder,Revolver,Laser Gun,Slingshot,Ghost Scepter,Javelin"
character,generalist,Generalist,stats,"+2 Melee Damage for every 1 Ranged Damage you have
+1 Ranged Damage for every 2 Melee Damage you have
You can only equip 3 melee weapons and 3 ranged weapons at a time","<span style=""color:rgb(0,255,0);"">+2 Melee Damage</span> for every <span style=""color:rgb(0,255,0);"">1 Ranged Damage</span> you have<br><span style=""color:rgb(0,255,0);"">+1 Ranged Damage</span> for every <span style=""color:rgb(0,255,0);"">2 Melee Damage</span> you have<br>You can only equip <span style=""color:rgb(244,0,0);"">3</span> melee weapons and <span style=""color:rgb(244,0,0);"">3</span> ranged weapons at a time"
character,generalist,Generalist,unlock_type,Item,Item
character,generalist,Generalist,unlocked_by,Collect 2000 materials,Collect 2000 materials
character,generalist,Generalist,unlocks,Big Arms,Big Arms
character,generalist,Generalist,wanted_tags,"Melee Damage, Ranged Damage","[[Melee Damage]], [[Ranged Damage]]"
character,loud,Loud,is_dlc,-,-
character,loud,Loud,starting_weapons,"Cacti Club,Ghost Axe,Ghost Flint,Lightning Shiv,Thief Dagger,Claw,Spear,Torch,Rock,Hatchet,Plank,Wrench,Jousting Lance,Quarterstaff,Pruner,Screwdriver,Double Barrel Shotgun,Pistol,SMG,Shredder,Icicle,Shuriken,Slingshot,Crossbow,Javelin","Cacti Club,Ghost Axe,Ghost Flint,Lightning Shiv,Thief Dagger,Claw,Spear,Torch,Rock,Hatchet,Plank,Wrench,Jousting Lance,Quarterstaff,Pruner,Screwdriver,Double Barrel Shotgun,Pistol,SMG,Shredder,Icicle,Shuriken,Slingshot,Crossbow,Javelin"
character,loud,Loud,stats,"+30% Damage
+50% Enemies
-3 Harvesting at the end of a wave","<span style=""color:rgb(0,255,0);"">+30%</span> Damage<br>+50% Enemies<br><span style=""color:rgb(244,0,0);"">-3 Harvesting</span> at the end of a wave"
character,loud,Loud,unlock_type,Item,Item
character,loud,Loud,unlocked_by,Kill 5000 enemies,Kill 5000 enemies
character,loud,Loud,unlocks,Rip and Tear,Rip and Tear
character,loud,Loud,wanted_tags,More Enemies,[[More Enemies]]
character,multitasker,Multitasker,is_dlc,-,-
character,multitasker,Multitasker,starting_weapons,"Cacti Club,Fist,Claw,Knife,Spear,Stick,Quarterstaff,Lightning Shiv,Screwdriver,Wrench,Ghost Flint,Ghost Axe,Plank,Chopper,Hatchet,Jousting Lance,Pruner,Rock,Spiky Shield,Sharp Tooth,Double Barrel Shotgun,SMG,Revolver,Laser Gun,Wand,Icicle,Slingshot,Taser,Shuriken,Crossbow,Hiking Pole,Lute","Cacti Club,Fist,Claw,Knife,Spear,Stick,Quarterstaff,Lightning Shiv,Screwdriver,Wrench,Ghost Flint,Ghost Axe,Plank,Chopper,Hatchet,Jousting Lance,Pruner,Rock,Spiky Shield,Sharp Tooth,Double Barrel Shotgun,SMG,Revolver,Laser Gun,Wand,Icicle,Slingshot,Taser,Shuriken,Crossbow,Hiking Pole,Lute"
character,multitasker,Multitasker,stats,"+20% Damage
You can equip up to 12 weapons at a time
-5% Damage for every weapon you have","<span style=""color:rgb(0,255,0);"">+20%</span> Damage<br>You can equip up to <span style=""color:rgb(0,255,0);"">12</span> weapons at a time<br><span style=""color:rgb(244,0,0);"">-5% Damage</span> for every weapon you have"
character,multitasker,Multitasker,unlock_type,Weapon,Weapon
character,multitasker,Multitasker,unlocked_by,Collect 5000 materials,Collect 5000 materials
character,multitasker,Multitasker,unlocks,Chopper,Chopper
character,multitasker,Multitasker,wanted_tags,''None'',''None''
character,wildling,Wildling,is_dlc,-,-
character,wildling,Wildling,starting_weapons,"Stick,Spear,Torch,Rock,Cacti Club,Hatchet,Quarterstaff,Sharp Tooth,Slingshot,Javelin","Stick,Spear,Torch,Rock,Cacti Club,Hatchet,Quarterstaff,Sharp Tooth,Slingshot,Javelin"
character,wildling,Wildling,stats,"+30% Life Steal with Primitive weapons
You start with 1 Stick
You can't equip weapons above tier 2","<span style=""color:rgb(0,255,0);"">+30% Life Steal</span> with <span style=""color:rgb(0,255,0);"">Primitive</span> weapons<br>You start with <span style=""color:rgb(0,255,0);"">1 Stick</span><br>You can't equip weapons above tier <span style=""color:rgb(244,0,0);"">2</span>"
character,wildling,Wildling,unlock_type,Weapon,Weapon
character,wildling,Wildling,unlocked_by,Kill 10000 enemies,Kill 10000 enemies
character,wildling,Wildling,unlocks,Hatchet,Hatchet
character,wildling,Wildling,wanted_tags,''None'',''None''
character,pacifist,Pacifist,is_dlc,-,-
character,pacifist,Pacifist,starting_weapons,"Hand,Taser,Pruner","Hand,Taser,Pruner"
character,pacifist,Pacifist,stats,"Gain 0.65 material and XP for every living enemy at the end of a wave
You start with 1 Lumberjack Shirt
-100% Damage
-100 Engineering","Gain <span style=""color:rgb(0,255,0);"">0.65</span> material and XP for every living enemy at the end of a wave<br>You start with <span style=""color:rgb(0,255,0);"">1 Lumberjack Shirt</span><br><span style=""color:rgb(244,0,0);"">-100%</span> Damage<br><span style=""color:rgb(244,0,0);"">-100</span> Engineering"
character,pacifist,Pacifist,unlock_type,Item,Item
character,pacifist,Pacifist,unlocked_by,Collect 10000 materials,Collect 10000 materials
character,pacifist,Pacifist,unlocks,Panda,Panda
character,pacifist,Pacifist,wanted_tags,"Max HP, HP Regeneration, Armor","[[Max HP]], [[HP Regeneration]], [[Armor]]"
character,gladiator,Gladiator,is_dlc,-,-
character,gladiator,Gladiator,starting_weapons,"Spear,Jousting Lance,Cacti Club,Torch,Thief Dagger,Knife,Plank,Ghost Axe,Ghost Flint,Sharp Tooth,Fist,Claw,Quarterstaff,Hatchet,Lightning Shiv","Spear,Jousting Lance,Cacti Club,Torch,Thief Dagger,Knife,Plank,Ghost Axe,Ghost Flint,Sharp Tooth,Fist,Claw,Quarterstaff,Hatchet,Lightning Shiv"
character,gladiator,Gladiator,stats,"+20% Attack Speed for every different weapon you have
+5 Melee Damage
You can't equip ranged weapons
-40% Attack Speed
-30 Luck","<span style=""color:rgb(0,255,0);"">+20% Attack Speed</span> for every different weapon you have<br> <span style=""color:rgb(0,255,0);"">+5</span> Melee Damage<br>You can't equip ranged weapons<br><span style=""color:rgb(244,0,0);"">-40%</span> Attack Speed<br><span style=""color:rgb(244,0,0);"">-30</span> Luck"
character,gladiator,Gladiator,unlock_type,Item,Item
character,gladiator,Gladiator,unlocked_by,Kill 20000 enemies,Kill 20000 enemies
character,gladiator,Gladiator,unlocks,Spider,Spider
character,gladiator,Gladiator,wanted_tags,Melee Damage,[[Melee Damage]]
character,saver,Saver,is_dlc,-,-
character,saver,Saver,starting_weapons,"Fist,Chopper,Thief Dagger,Ghost Flint,Pruner,Lightning Shiv,Cacti Club,Spear,Pistol,Revolver,Laser Gun,Taser,Wand,Icicle,Lute,Sickle","Fist,Chopper,Thief Dagger,Ghost Flint,Pruner,Lightning Shiv,Cacti Club,Spear,Pistol,Revolver,Laser Gun,Taser,Wand,Icicle,Lute,Sickle"
character,saver,Saver,stats,"+15 Harvesting
+1% Damage for every 25 Materials you have
You start with 1 Piggy Bank
+50% Item & Weapon Price","<span style=""color:rgb(0,255,0);"">+15</span> Harvesting<br><span style=""color:rgb(0,255,0);"">+1% Damage</span> for every <span style=""color:rgb(0,255,0);"">25 Materials</span> you have<br>You start with <span style=""color:rgb(0,255,0);"">1 Piggy Bank</span><br><span style=""color:rgb(244,0,0);"">+50%</span> Item & Weapon Price"
character,saver,Saver,unlock_type,Item,Item
character,saver,Saver,unlocked_by,Collect 20000 materials,Collect 20000 materials
character,saver,Saver,unlocks,Padding,Padding
character,saver,Saver,wanted_tags,''None'',''None''
character,sick,Sick,is_dlc,-,-
character,sick,Sick,starting_weapons,"Fist,Scissors,Hatchet,Ghost Flint,Cacti Club,Lightning Shiv,Sharp Tooth,Pruner,Ghost Scepter,Slingshot,SMG,Medical Gun,Sickle","Fist,Scissors,Hatchet,Ghost Flint,Cacti Club,Lightning Shiv,Sharp Tooth,Pruner,Ghost Scepter,Slingshot,SMG,Medical Gun,Sickle"
character,sick,Sick,stats,"+12 Max HP
+25% Life Steal
You take 1 damage per second (does not give invulnerability time)
-100 HP Regeneration","<span style=""color:rgb(0,255,0);"">+12</span> Max HP<br><span style=""color:rgb(0,255,0);"">+25%</span> Life Steal<br>You take <span style=""color:rgb(244,0,0);"">1</span> damage per second (does not give invulnerability time)<br><span style=""color:rgb(244,0,0);"">-100</span> HP Regeneration"
character,sick,Sick,unlock_type,Item,Item
character,sick,Sick,unlocked_by,Reach -5 % HP Regeneration,Reach -5 % HP Regeneration
character,sick,Sick,unlocks,Whetstone,Whetstone
character,sick,Sick,wanted_tags,Life Steal,[[Life Steal]]
character,farmer,Farmer,is_dlc,-,-
character,farmer,Farmer,starting_weapons,"Hand,Spear,Stick,Torch,Quarterstaff,Screwdriver,Pruner,Thief Dagger,Wrench,Taser,Wand,Double Barrel Shotgun,Slingshot,Potato Thrower,Lute,Sickle","Hand,Spear,Stick,Torch,Quarterstaff,Screwdriver,Pruner,Thief Dagger,Wrench,Taser,Wand,Double Barrel Shotgun,Slingshot,Potato Thrower,Lute,Sickle"
character,farmer,Farmer,stats,"+20 Harvesting
Harvesting increases by an additional 3% at the end of a wave
+1 Harvesting when eating a consumable while at full health
-50% materials dropped","<span style=""color:rgb(0,255,0);"">+20</span> Harvesting <br> Harvesting increases by an additional <span style=""color:rgb(0,255,0);"">3%</span> at the end of a wave<br><span style=""color:rgb(0,255,0);"">+1</span> Harvesting when eating a consumable while at full health
    <br><span style=""color:rgb(244,0,0);"">-50%</span> materials dropped"
character,farmer,Farmer,unlock_type,Item,Item
character,farmer,Farmer,unlocked_by,Reach +200 Harvesting,Reach +200 Harvesting
character,farmer,Farmer,unlocks,Wheat,Wheat
character,farmer,Farmer,wanted_tags,"Harvesting, Consumable","[[Harvesting]], [[Consumable]]"
character,ghost,Ghost,is_dlc,-,-
character,ghost,Ghost,starting_weapons,"Ghost Flint,Ghost Axe,Ghost Scepter","Ghost Flint,Ghost Axe,Ghost Scepter"
character,ghost,Ghost,stats,"+10 Damage with Ethereal weapons
+30% Dodge
Dodge is capped at 90%
-100 Armor","<span style=""color:rgb(0,255,0);"">+10 Damage</span> with <span style=""color:rgb(0,255,0);"">Ethereal</span> weapons<br><span style=""color:rgb(0,255,0);"">+30%</span> Dodge<br>Dodge is capped at <span style=""color:rgb(0,255,0);"">90%</span><br><span style=""color:rgb(244,0,0);"">-100</span> Armor"
character,ghost,Ghost,unlock_type,Item,Item
character,ghost,Ghost,unlocked_by,Reach +60% Dodge,Reach +60% Dodge
character,ghost,Ghost,unlocks,Ritual,Ritual
character,ghost,Ghost,wanted_tags,Dodge,[[Dodge]]
character,speedy,Speedy,is_dlc,-,-
character,speedy,Speedy,starting_weapons,"Fist,Claw,Knife,Thief Dagger,Stick,Spear,Quarterstaff,Jousting Lance,Screwdriver,Ghost Flint,Pruner,Shuriken,Hiking Pole,Javelin","Fist,Claw,Knife,Thief Dagger,Stick,Spear,Quarterstaff,Jousting Lance,Screwdriver,Ghost Flint,Pruner,Shuriken,Hiking Pole,Javelin"
character,speedy,Speedy,stats,"+30% Speed
+1 Melee Damage for every 2% Speed you have
-100 Armor while standing still
-3 Armor","<span style=""color:rgb(0,255,0);"">+30%</span> Speed<br><span style=""color:rgb(0,255,0);"">+1 Melee Damage</span> for every <span style=""color:rgb(0,255,0);"">2% Speed</span> you have<br><span style=""color:rgb(244,0,0);"">-100 Armor</span> while standing still<br><span style=""color:rgb(244,0,0);"">-3</span> Armor"
character,speedy,Speedy,unlock_type,Item,Item
character,speedy,Speedy,unlocked_by,Reach +50% Speed,Reach +50% Speed
character,speedy,Speedy,unlocks,Fin,Fin
character,speedy,Speedy,wanted_tags,Speed,[[Speed]]
character,entrepreneur,Entrepreneur,is_dlc,-,-
character,entrepreneur,Entrepreneur,starting_weapons,"Fist,Claw,Hand,Knife,Thief Dagger,Pruner,Quarterstaff,Hatchet,Ghost Flint,Wrench,Plank,Pistol,Double Barrel Shotgun,Taser,Shuriken,Crossbow,Icicle,Hiking Pole,Lute,Sickle","Fist,Claw,Hand,Knife,Thief Dagger,Pruner,Quarterstaff,Hatchet,Ghost Flint,Wrench,Plank,Pistol,Double Barrel Shotgun,Taser,Shuriken,Crossbow,Icicle,Hiking Pole,Lute,Sickle"
character,entrepreneur,Entrepreneur,stats,"-25% Items Price
Harvesting modifications are increased by 50%
Gain 25% more materials from recycling items
-100% of your materials at the start of waves
Damage modifications are reduced by 50%","<span style=""color:rgb(0,255,0);"">-25%</span> Items Price<br><span style=""color:rgb(0,255,0);"">Harvesting</span> modifications are increased by <span style=""color:rgb(0,255,0);"">50%</span><br>Gain <span style=""color:rgb(0,255,0);"">25%</span> more materials from recycling items<br><span style=""color:rgb(244,0,0);"">-100%</span> of your materials at the start of waves<br><span style=""color:rgb(244,0,0);"">Damage</span> modifications are reduced by <span style=""color:rgb(244,0,0);"">50%</span>"
character,entrepreneur,Entrepreneur,unlock_type,Item,Item
character,entrepreneur,Entrepreneur,unlocked_by,Hold 3000 Materials,Hold 3000 Materials
character,entrepreneur,Entrepreneur,unlocks,Bowler Hat,Bowler Hat
character,entrepreneur,Entrepreneur,wanted_tags,"Harvesting, Economy","[[Harvesting]], [[Economy]]"
character,engineer,Engineer,is_dlc,-,-
character,engineer,Engineer,starting_weapons,"Wrench,Screwdriver,Plank,Hammer","Wrench,Screwdriver,Plank,Hammer"
character,engineer,Engineer,stats,"+10 Engineering
Engineering modifications are increased by 25%
You start with 1 Wrench
Structures spawn close to each other
Damage modifications are reduced by 50%","<span style=""color:rgb(0,255,0);"">+10</span> Engineering<br><span style=""color:rgb(0,255,0);"">Engineering</span> modifications are increased by <span style=""color:rgb(0,255,0);"">25%</span><br>You start with <span style=""color:rgb(0,255,0);"">1 Wrench</span><br> Structures spawn close to each other<br><span style=""color:rgb(244,0,0);"">Damage</span> modifications are reduced by <span style=""color:rgb(244,0,0);"">50%</span>"
character,engineer,Engineer,unlock_type,Item,Item
character,engineer,Engineer,unlocked_by,Get 5 turrets on the map simultaneously,Get 5 turrets on the map simultaneously
character,engineer,Engineer,unlocks,Robot Arm,Robot Arm
character,engineer,Engineer,wanted_tags,"Engineering, Structure","[[Engineering]], [[Structure]]"
character,explorer,Explorer,is_dlc,-,-
character,explorer,Explorer,starting_weapons,"Hand,Cacti Club,Screwdriver,Thief Dagger,Wrench,Stick,Torch,Chopper,Plank,Hatchet,Jousting Lance,Ghost Axe,Crossbow,Shredder,Taser,Wand,Hiking Pole,Spoon","Hand,Cacti Club,Screwdriver,Thief Dagger,Wrench,Stick,Torch,Chopper,Plank,Hatchet,Jousting Lance,Ghost Axe,Crossbow,Shredder,Taser,Wand,Hiking Pole,Spoon"
character,explorer,Explorer,stats,"More trees spawn
You start with 1 Lumberjack Shirt
+10% Speed
+50% pickup range
+33% Map Size
+25% Enemies
-50% materials dropped from enemies
+10% Enemy Speed
-40% Damage","More trees spawn<br>You start with <span style=""color:rgb(0,255,0);"">1 Lumberjack Shirt</span><br><span style=""color:rgb(0,255,0);"">+10%</span> Speed<br><span style=""color:rgb(0,255,0);"">+50%</span> pickup range<br>+33% Map Size<br>+25% Enemies<br><span style=""color:rgb(244,0,0);"">-50%</span> materials dropped from enemies<br><span style=""color:rgb(244,0,0);"">+10%</span> Enemy Speed<br><span style=""color:rgb(244,0,0);"">-40%</span> Damage"
character,explorer,Explorer,unlock_type,Item,Item
character,explorer,Explorer,unlocked_by,Kill 50 trees,Kill 50 trees
character,explorer,Explorer,unlocks,Compass,Compass
character,explorer,Explorer,wanted_tags,"Speed, Exploration, Consumable","[[Speed]], [[Exploration]], [[Consumable]]"
character,doctor,Doctor,is_dlc,-,-
character,doctor,Doctor,starting_weapons,"Scissors,Medical Gun","Scissors,Medical Gun"
character,doctor,Doctor,stats,"+200% Attack Speed with Medical weapons
+5 HP Regeneration
HP Regeneration modifications are increased by 100%
+5 Harvesting
-100% Attack Speed
Armor modifications are reduced by 50%","<span style=""color:rgb(0,255,0);"">+200% Attack Speed</span> with <span style=""color:rgb(0,255,0);"">Medical</span> weapons<br><span style=""color:rgb(0,255,0);"">+5</span> HP Regeneration<br><span style=""color:rgb(0,255,0);"">HP Regeneration</span> modifications are increased by <span style=""color:rgb(0,255,0);"">100%</span><br><span style=""color:rgb(0,255,0);"">+5</span> Harvesting<br><span style=""color:rgb(244,0,0);"">-100%</span> Attack Speed<br><span style=""color:rgb(244,0,0);"">Armor</span> modifications are reduced by <span style=""color:rgb(244,0,0);"">50%</span>"
character,doctor,Doctor,unlock_type,Item,Item
character,doctor,Doctor,unlocked_by,Heal 200 HP in one wave,Heal 200 HP in one wave
character,doctor,Doctor,unlocks,Medikit,Medikit
character,doctor,Doctor,wanted_tags,HP Regeneration,[[HP Regeneration]]
character,hunter,Hunter,is_dlc,-,-
