Name,Class,Damage,Attack Speed,DPS,Crit Damage/Chance,Range,Knockback,Lifesteal,Special Effects,Base price,Unlocked by
Harpoon Gun(DLC),"Naval, Gun",-  5(+100%+100%)  10(+100%+100%)  20(+100%+100%),-  0.82s  0.73s  0.65s,--  6.1(122.4%122.4%)/s  13.6(136.4%136.4%)/s  30.8(153.8%153.8%)/s,-  x1.5 (3% chance)  x1.5 (3% chance)  x1.5 (3% chance),-  800  850  900,-  -30  -30  -30,-  0  0  0,Slows enemies in a radius around the projectile. Pierces 3/4/5 enemies dealing -25% less damage with each pierce,-  50  105  220,Default
Icicle,"Precise, Elemental",10(+100%)  20(+100%)  30(+100%)  40(+100%),1.03s  0.95s  0.87s  0.7s,9.7(96.8%)/s  21.1(105.3%)/s  34.6(115.4%)/s  57.1(142.9%)/s,x2 (5% chance)  x2 (10% chance)  x2.5 (15% chance)  x3 (20% chance),400  400  400  400,5  5  5  5,0  0  0  0,Pierces 1 enemy dealing -50% less to the second enemy,18-  36-  66-  140-,Default
Javelin(DLC),Primitive,8(+100%)  12(+100%)  16(+100%)  20(+100%),1.2s  1.12s  1.03s  0.95s,6.7(83.3%)/s  10.7(89.6%)/s  15.5(97.1%)/s  21.1(105.3%)/s,x2.5 (0% chance)  x2.75 (0% chance)  x3 (0% chance)  x3.25 (0% chance),350  375  400  425,0  0  0  0,0  0  0  0,Every 5th/4th/3rd/2nd projectile has +100 % Crit Chance. Pierces 2/3/4/5 enemies dealing -25% less damage with each pierce.,18  36  66  140,Default
Laser Gun,Gun,40(400%)  55(450%)  70(500%)  100(600%),1.98s  1.90s  1.82s  1.65s,20.2(202%)/s  28.9(237%)/s  38.5(275%)/s  60.6(364%)/s,x2 (3%)  x2 (3%)  x2 (3%)  x2 (3%),500  500  500  500,0  0  0  0,0  0  0  0,Pierces 1 enemy dealing -25% less to the second enemy,15  31  61  122,Default
Medical Gun,"Medical, Gun",10(100%)  15(100%)  20(100%)  30(100%),0.87s  0.77s  0.65s  0.53s,11.5(115%)/s  19.5(130%)/s  30.8(154%)/s  56.6(189%)/s,x2 (3%)  x2 (3%)  x2 (3%)  x2 (3%),400  400  400  400,0  0  0  0,40%  45%  50%  60%,,15  31  61  122,Default
Minigun,"Heavy, Gun",-  -  1(50%)  3(75%),-  -  0.09s  0.073s,-  -  11.1(555%)/s  41.1(1027%)/s,-  -  x1.75 (1%)  x2 (3%),-  -  400  450,-  -  3  3,-  -  0  0,Pierces 1/2 enemies dealing -50% less damage with each pierce.,-  -  127  255,Default
Nuclear Launcher,"Heavy, Explosive",-  -  60(100%100%)  120(100%100%),-  -  2.12s  2.12s,-  -  28.3(47%47%)/s  56.6(47%47%)/s,-  -  x2 (3%)  x2 (3%),-  -  800  800,-  -  15  15,-  -  0  0,Projectiles explode on hit,-  -  144  289,Win a run with Soldier
Obliterator,"Gun, Heavy",-  -  250(1000%)  350(1500%),-  -  3.23s  3.23s,-  -  77.4(309%)/s  108.4(464%)/s,-  -  x2 (3%)  x2 (3%),-  -  800  1000,-  -  0  0,-  -  0  0,Pierces through enemies,-  -  127  255,Win a run with Demon
Particle Accelerator,"Heavy, Elemental",-  -  60(+100%+100%)  120(+100%+100%),-  -  1.95s  1.62s,--  --  30.8(51.3%51.3%)/s  74.2(61.8%61.8%)/s,-  -  x2 (3% chance)  x2 (3% chance),-  -  800  800,-  -  0  0,-  -  0  0,Deals 8x8/10x10 (+100%) burning damage Slows enemies by 1%/2% on hit for every 1 Engineering you have [0%]. Pierces through enemies. Can't bounce,-  -  144  289,Win a run with Technomage
Pistol,Gun,12(100%)  20(100%)  30(100%)  50(100%),1.2s  1.12s  1.03s  0.87s,10.0(83%)/s  17.9(89%)/s  29.1(97%)/s  57.5(114%)/s,x2 (5%)  x2 (10%)  x2 (15%)  x2 (20%),400  400  400  400,15  15  15  15,0  0  0  0,Pierces 1 enemy dealing -50% less to the second enemy,10  22  45  91,Default
Potato Thrower,Support,-  1(25%20%)  1(25%20%)  1(25%20%),-  0.45s  0.37s  0.25s,-  2.2(55%44%)/s  2.7(67%54%)/s  4.0(100%80%)/s,-  x1.5 (3%)  x1.5 (3%)  x1.5 (3%),-  500  500  500,-  20  25  30,-  0  0  0,,-  36  69  139,Win a run with Chunky
Revolver,Gun,15(100%)  20(130%)  25(165%)  40(200%),0.43s  0.42s  0.4s  0.38s,21.3(142%)/s  29.8(194%)/s  39.5(261%)/s  67.2(336%)/s,x2 (3%)  x2 (3%)  x2 (3%)  x2 (3%),450  450  450  450,15  15  15  15,0  0  0  0,Every 6th shot has a longer cooldown: 2.07s/1.93s/1.80s/1.67s,20  34  70  130,Default
Rocket Launcher,"Heavy, Explosive",-  30(100%)  50(100%)  80(100%),-  1.78s  1.37s  1.03s,-  16.9(56%)/s  36.5(72%)/s  77.7(97%)/s,-  x2 (3%)  x2 (3%)  x2 (3%),-  500  550  600,-  15  15  15,-  0  0  0,Projectiles explode on hit,-  56  103  207,Default
Shredder,"Gun, Explosive",5(50%)  10(50%)  15(50%)  25(50%),1.3s  1.22s  1.13s  1.05s,3.8(38%)/s  8.2(40%)/s  13.3(44%)/s  23.8(47%)/s,x2 (3%)  x2 (3%)  x2 (3%)  x2 (3%),450  450  450  450,0  0  0  0,0  0  0  0,50%/65%/80%/100% chance for projectiles to explode on hit. Pierces 3 enemies dealing 100% damage,15  31  61  122,Default
Shuriken,Precise,6(25%)  8(34%)  10(42%)  15(50%),0.87s  0.83s  0.8s  0.7s,6.9(28%)/s  9.6(40%)/s  12.5(52%)/s  21.4(71%)/s,x1.5 (35%)  x1.5 (38%)  x1.5 (41%)  x1.5 (45%),350  350  350  350,0  0  0  0,0  0  0  0,Critical hits bounces 1/2/3/4 times,12  26  52  105,Default
Slingshot,Primitive,10(80%)  13(80%)  16(80%)  20(80%),1.22s  1.17s  1.13s  1.1s,8.2(65%)/s  11.1(68.4%)/s  14.2(70.8%)/s  18.2(72.7%)/s,x2 (3%)  x2 (3%)  x2 (3%)  x2 (3%),300  300  300  300,5  5  5  5,0  0  0  0,Bounces 1/2/3/4 times,15  31  61  122,Default
SMG,Gun,3(50%)  4(60%)  5(70%)  8(80%),0.17s  0.17s  0.17s  0.15s,17.6(294%)/s  23.5(352%)/s  29.4(411%)/s  53.3(533%)/s,x1.5 (1%)  x1.5 (1%)  x1.5 (1%)  x1.5 (1%),400  400  400  400,0  0  0  0,0  0  0  0,,20  39  74  149,Default
Sniper Gun,"Gun, Precise",-  -  50(100%20%)  80(100%30%),-  -  2.4s  2.4s,-  -  20.8(41%8%)/s  33.3(41%12%)/s,-  -  x3 (20%)  x4 (20%),-  -  800  1000,-  -  30  30,-  -  0  0,Hitting an enemy spawns 5/8 projectiles dealing 5 +(10%/15%),-  -  115  245,Win a run with Hunter
Taser,"Support, Elemental",6x1(80%)  6x2(70%)  6x3(60%)  12x4(50%),0.95s  0.95s  0.95s  0.95s,6.3(84%)/s  12.6(147%)/s  18.9(189%)/s  50.5(210%)/s,x2 (3%)  x2 (3%)  x2 (3%)  x2 (3%),200  200  200  200,0  0  0  0,0  0  0  0,Slows enemies in a radius around the projectile,15  31  61  122,Default
Wand,Elemental,1(50%)  1(65%)  1(80%)  1(100%),0.87s  0.78s  0.7s  0.53s,1.1(57%)/s  1.3(83.3%)/s  1.4(114.3%)/s  1.9(188.7%)/s,x2 (0%)  x2 (0%)  x2 (0%)  x2 (0%),350  375  400  425,10  10  10  10,0  0  0  0,Deals 3x3/5x5/8x6/12x9(100%) burning damage,12  26  52  105,Default
