Name,Stats,Unlocked By,Unlocks,Item Tags
Multitasker,+20% Damage You can equip up to 12 weapons at a time -5% Damage for every weapon you have,Collect 5000 materials,Chopper,
Wildling,+30% Life Steal with Primitive weapons You start with 1 Stick You can't equip weapons above tier 2,Kill 10000 enemies,Hatchet,
Pacifist,Gain 0.65 material and XP for every living enemy at the end of a wave You start with 1 Lumberjack Shirt -100% Damage -100 Engineering,Collect 10000 materials,Panda,"Max HP, HP Regeneration, Armor"
Gladiator,+20% Attack Speed for every different weapon you have  +5 Melee Damage You can't equip ranged weapons -40% Attack Speed -30 Luck,Kill 20000 enemies,Spider,Melee Damage
Saver,+15 Harvesting +1% Damage for every 25 Materials you have You start with 1 Piggy Bank +50% Item & Weapon Price,Collect 20000 materials,Padding,
Sick,+12 Max HP +25% Life Steal You take 1 damage per second (does not give invulnerability time) -100 HP Regeneration,Reach -5 % HP Regeneration,Whetstone,Life Steal
Farmer,+20 Harvesting Harvesting increases by an additional 3% at the end of a wave +1 Harvesting when eating a consumable while at full health  -50% materials dropped,Reach +200 Harvesting,Wheat,"Harvesting, Consumable"
Ghost,+10 Damage with Ethereal weapons +30% Dodge Dodge is capped at 90% -100 Armor,Reach +60% Dodge,Ritual,Dodge
Speedy,+30% Speed +1 Melee Damage for every 2% Speed you have -100 Armor while standing still -3 Armor,Reach +50% Speed,Fin,Speed
Entrepreneur,-25% Items Price Harvesting modifications are increased by 50% Gain 25% more materials from recycling items -100% of your materials at the start of waves Damage modifications are reduced by 50%,Hold 3000 Materials,Bowler Hat,"Harvesting, Economy"
Engineer,+10 Engineering Engineering modifications are increased by 25% You start with 1 Wrench  Structures spawn close to each other Damage modifications are reduced by 50%,Get 5 turrets on the map simultaneously,Robot Arm,"Engineering, Structure"
Explorer,More trees spawn You start with 1 Lumberjack Shirt +10% Speed +50% pickup range +33% Map Size +25% Enemies -50% materials dropped from enemies +10% Enemy Speed -40% Damage,Kill 50 trees,Compass,"Speed, Exploration, Consumable"
Doctor,+200% Attack Speed with Medical weapons +5 HP Regeneration HP Regeneration modifications are increased by 100% +5 Harvesting -100% Attack Speed Armor modifications are reduced by 50%,Heal 200 HP in one wave,Medikit,HP Regeneration
Hunter,+100 Range +1% Damage for every 10 Range you have Crit Chance modifications are increased by 25% Harvesting modifications are reduced by 100% Max HP modifications are reduced by 33%,Reach +300 Range,Sniper Gun,"Range, Crit Chance"
Artificer,+175% Explosion Damage +4% Explosion Size for every 1 Elemental Damage you have +100% Damage with Tool weapons -100% Damage Armor modifications are reduced by 50%,Kill 15 Enemies with a single explosion,Explosive Shells,Explosive (Item Tag)
Arms Dealer,-95% Weapons Price +30 Harvesting Damage modifications are increased by +33% You start with 1 Dangerous Bunny Shops always sell at least 1 weapon All of your weapons are destroyed when entering a shop,Recycle 12 weapons during a run,Anvil,
Streamer,+3% of your materials per second while standing still (+25 max) +40% Damage while moving +40% Attack Speed while moving +2 Armor for every 1 Structure you have -50% materials dropped -1% Damage for every 15 Materials you have -1% Speed for every 30 Materials you have,Reach -20% Speed,Community Support,Structure
Cyborg,You start with 1 Minigun Ranged Damage modifications are increased by 200% 100% of your Ranged Damage are temporarily converted into Engineering halfway through a wave (1 Ranged Damage = 2 Engineering) Engineering modifications are reduced by 75% Melee modifications are reduced by 100% Elemental modifications are reduced by 100%,Reach 10 Ranged Damage and get 3 structures at the same time,Improved Tools,"Structure, Ranged Damage"
Glutton,+50 Luck +1 % Explosion Damage when picking up a consumable while at maximum health Consumable have a 100% chance to explode for 10 (500% ) damage when picked up +25 % Items Price -25 % XP Gain,Pick up 20 consumables during a run,Spicy Sauce,"Consumable, Explosive (Item Tag), Melee Damage"
Jack,"+125% damage against bosses and elites +200% materials dropped -70% Enemies +175 % Enemy health +35 % Enemy damage Note: On higher danger levels, only Elites spawn, never hordes",Kill a boss or an elite in less than 15 seconds,Giant Belt,
Lich,+10 HP Regeneration +10 % Life Steal 100% chance to deal 10 () damage to a random enemy when you heal Damage modifications are reduced by 50%,Reach +100 Max HP,Tentacle,"Max HP, HP Regeneration, Life Steal"
Apprentice,+2 Melee Damage when you level up +1 Ranged Damage when you level up +1 Elemental Damage when you level up +1 Engineering when you level up -2 Max HP when you level up,Reach level 20,Quarterstaff,XP Gain
Cryptid,More trees spawn (+6) Gain 12 material and XP for every living tree at the end of a wave +3 HP Regeneration for every current living tree Dodge is capped at 70% +3 Attack Speed until the end of the wave when you dodge an attack -100 % Life Steal -100 Range -50% materials dropped from enemies,Finish a wave with 10 or more living trees,Claw,"Exploration, Dodge"
Fisherman,+5 Max HP +20 Harvesting Shops always sell a Bait -100% Bait price +2 Harvesting for every 1 Bait you have Baits make some special enemies spawn throughout all future waves -50% materials dropped from enemies,Get 2 Bait during a run,Lure,
Golem,+20 Max HP Max HP modifications are increased by 33% Armor modifications are increased by 33% +40 % Attack Speed when you have less than 50% health +20 % Speed when you have less than 50% health You can't heal in any way,Finish a wave with 1 HP,Stone Skin,"Max HP, Armor"
King,+50 Luck +25 % Damage for every Tier IV weapon you have +25% Attack Speed for every Tier IV weapon you have +5 Max HP for every different Tier IV item you have -15% Damage for every Tier I weapon you have -15% Attack Speed for every Tier I weapon you have -2 Max HP for every different Tier I item you have UNLISTED BONUS: Starting weapon is Tier II,Get 3 tier IV weapons at once,Excalibur,
Renegade,+2 projectiles Projectiles pierce through 1 additional target +10 % Damage for every different Tier I item you have You can't equip melee weapons -400% Damage -50% accuracy % Damage modifications are reduced by 80%,Get 10 different tier I items during a run,Fairy,
One Armed,+200% Attack Speed Damage modifications are increased by 100% You can only equip one weapon at a time,Win a run in Danger 0,Focus,Damage
Bull,+20 Max HP +15 HP Regeneration +10 Armor HP Regeneration modifications are increased by 50% You explode for 30 (300% 300% 300%) damage when you take damage This explosion has a 1.5x crit multiplier You can't equip weapons,Win a run in Danger 1,Gnome,"Armor, HP Regeneration, Explosive (Item Tag)"
Soldier,+50% Damage while standing still +50% Attack Speed while standing still +10% Speed +200% pickup range +15 Knockback You cant attack while moving,Win a run in Danger 2,Nuclear Launcher,Stand Still
Masochist,+5% Damage when you take damage until the end of the wave +10 Max HP +20 HP Regeneration +8 Armor -100% Damage,Win a run in Danger 3,Spiky Shield,"Max HP, Armor, HP Regeneration, Life Steal"
Knight,+2 Melee Damage for every 1 Armor you have +3 Armor You can't equip ranged weapons You can only equip tier 2 weapons or above % Attack Speed modifications are reduced by 50% Harvesting modifications are reduced by 80%,Win a run in Danger 4,Plasma Sledge,Armor
Demon,+50% of your Materials are converted into Max HP at the end of a wave (13 Materials=1 Max HP) You buy items using Max HP instead of materials,Win a run in Danger 5,Obliterator,
Baby,+12 Harvesting -20 % Items Price You gain a weapon slot when you level up instead of a stat upgrade (max: 24) You start with one weapon slot Shops always sell at least one weapon +130% XP required to level up,Reach level 10 before wave 6,Celery Tea,XP Gain
Vagabond,Equipped weapons always contribute to the class bonuses of other equipped weapons You can't equip two of the same weapon at the same time -5 Armor -5 % Dodge Luck modifications are reduced by 50% Harvesting modifications are reduced by 50%,Have 6 different weapons at once,Jelly,
Technomage,You start with 2 Turret +5 % Structure attack speed for every permanent 1 Elemental Damage you have +2 Elemental Damage for every 1 Structure you have +75% XP required to level up Melee Damage modifications are reduced by 100% Ranged Damage modifications are reduced by 100%,Reach 10 Elemental Damage and get 3 structures at the same time,Particle Accelerator,"Elemental Damage, Engineering, Structure"
Vampire,+2 % Damage for every 1% of missing health +1 % Life Steal for every 3% of missing health +1 Armor for every 5% of missing health Max HP modifications are reduced by 25% -60 % Damage -100 HP Regeneration -100 HP recovered from consumables,Reach +40 % Life Steal,Decomposing Flesh,Life Steal
Sailor(DLC),+200% damage with Naval weapons against cursed enemies +25 Curse -25 % Damage You can only equip tier II weapons or above Dodge is capped at 20% Harvesting modifications are reduced by 100%,Unlocked by default,Treasure Map,Curse
Curious(DLC),You start with 1 Spyglass 2 additional loot aliens appear every wave All future loot aliens become stronger when you kill a loot alien +2 % XP Gain for every different Item you have -10 % Damage for every duplicate item or weapon you have +25 % Enemy health,Unlocked by default,Pearl,Luck
Builder(DLC),You start with 1 Builder's Turret Every 5 uncollected materials are converted into 1 % Structure attack speed and 1 Structure Range at the end of a wave Engineering modifications are increased by 50% +20 Harvesting You can't have structures -30% pickup range Damage modifications are reduced by 75%,Unlocked by default,Lighthouse,Engineering
Captain(DLC),+60 % XP Gain for every free weapon slot you have +100% stats gained from level upgrades +200% XP required to level up +2 % Enemy health at the end of a wave +2 % Enemy damage at the end of a wave,Unlocked by default,Captain's Sword,XP Gain
Creature(DLC),Weapon damage additionally scales with 35% Curse You start with 1 cursed Fish Hook +1 Curse when you level up -10 Range at the end of a wave -5 % XP Gain at the end of a wave,Unlocked by default,Barnacle,"Curse, XP Gain"
Chef(DLC),+35 Luck +200% damage from non elemental sources against burning targets Consumables explode for 5x1 (+100%) burning damage when picked up You start with 1 Scared Sausage +100 % Enemy health Elemental Damage modifications are reduced by 75%,Have at least 25 enemies burning at the same time,Spoon,
Druid(DLC),+5 Max HP +15 Luck Enemies have a higher chance of dropping fruits 33% chance to get +1 Luck when you pick up a fruit 33% of fruits are poisoned and hurt you (ignores Dodge and Armor) -100 HP Regeneration -100 % Life Steal Engineering modifications are reduced by 50%,Collect 250 consumables by the end of wave 20,Cauldron,"Consumable, Luck"
Dwarf(DLC),+1 Engineering when killing at least 6 enemies with a direct weapon hit +1 Melee Damage for every permanent 2 Engineering you have You can't equip ranged weapons -20 % Dodge -100 % Attack Speed % Attack Speed modifications are reduced by 50%,Hit at least 25 enemies with a single melee attack,War Hammer,"Engineering, Structure"
Gangster(DLC),Can steal 1 item per shop Stealing from the shop can spawn an elite All future elites and bosses become stronger when you kill an elite or a boss +20 % Items Price Can't lock items,Reroll 10 times in a single shop,Grenade Launcher,
Diver(DLC),You start with 1 Harpoon Gun -100% Harpoon Gun price +200 % Crit Damage with Precise weapons % Crit Chance modifications are increased by 25% +1 HP Regeneration for every 2 Melee Damage you have Enemies take 300% more damage for 3 seconds when hit by Ranged Damage -100 Ranged Damage +250 % Enemy health,Kill 1000 enemies that are more than 700 range away from you,Starfish,"Crit Chance, Melee Damage"
Hiker(DLC),Earn 5 materials for every 10 steps you take during a wave +1 Max HP for every 80 steps you take during a wave % Speed modifications are increased by 10% -5 % Speed -50% materials dropped,Walk a total of 20000 steps,Scarf,Speed
Buccaneer(DLC),Picked up materials have +100% value Picking up a material resets the cooldown of all your weapons -100 % Attack Speed -50% materials dropped from enemies,Reach +100 % Pickup Range,Eyepatch,Pickup
Ogre(DLC),Enemies taking double their max health as damage explode for 10 (+50%-50%) damage +10 Melee Damage You can't equip ranged weapons -50 % Attack Speed -10 % Speed,Deal 1000 damage to an enemy in a single hit,Mace,"Max HP, Melee Damage, Explosive (Item Tag)"
Romantic(DLC),Hitting an enemy that has less than 25% health has a 5% (50%) chance to charm it for 8 seconds +50 Range with melee weapons -3 % Damage for every 5 Curse you have -1 Armor for every 5 Curse you have +1 Curse at the end of a wave,Finish a run with 0 Curse,Flute,
