Name,Class,Damage,Attack Speed,DPS,Crit Damage/Chance,Range,Knockback,Lifesteal,Special Effects,Base price,Unlocked by
Scythe,"Legendary, Ethereal",-  -  -  150(150%100%),-  -  -  0.72s,-  -  -  208.3(208.3%138.9%)/s,-  -  -  x2 (3%),-  -  -  250,-  -  -  5,-  -  -  100%,You take 3 damage per second (does not give invulnerability time). +3 % Damage when you take damage until the end of the wave,-  -  -  285,Default
Sharp Tooth,"Primitive, Precise",5(+50%+50%)  8(+50%+65%)  11(+50%+80%)  15(+50%+100%),1.14s  1.07s  1s  0.93s,4.4(43.7%43.7%)/s  7.5(46.7%60.7%)/s  11(50.1%80.1%)/s  16.2(54%108%)/s,x2 (3% chance)  x2.15 (6% chance)  x2.3 (9% chance)  x2.5 (12% chance),150  160  170  180,2  2  2  2,0  0  0  0,+1 % Life Steal for every 25%/20%/15%/10% of missing health,12  26  52  105,Default
Sickle(DLC),Support,5(+80%+10%)  8(+80%+15%)  12(+80%+20%)  15(+80%+25%),0.87s  0.82s  0.77s  0.7s,5.8(92.2%11.5%)/s  9.8(97.9%18.4%)/s  15.6(104.3%26.1%)/s  21.4(114.2%35.7%)/s,x2 (3% chance)  x2 (3% chance)  x2 (3% chance)  x2 (3% chance),125  125  125  125,2  2  2  2,0  0  0  0,+20%/+30%/+40%/+50% damage against targets below 30% health,15  31  61  122,Default
Spear,Primitive,15(100%)  25(100%)  40(100%)  60(100%),1.52s  1.4s  1.28s  1.24s,9.9(65%)/s  17.9(71%)/s  31.2(78%)/s  48.4(80%)/s,x2 (3%)  x2 (3%)  x2 (3%)  x2 (3%),350  375  400  500,0  0  0  0,0  0  0  0,,20  39  74  149,Default
Spiky Shield,"Medieval, Blunt",10(100%)  15(125%)  20(150%)  30(200%),1.16s  1.16s  1.16s  1.01s,8.6(86%)/s  12.9(107%)/s  17.2(129%)/s  29.7(198%)/s,x2 (3%)  x2 (3%)  x2 (3%)  x2 (3%),150  150  150  150,20  20  20  20,0  0  0  0,,15  31  61  122,Win a run with Masochist
Spoon(DLC),Blunt,10(+50%+15%)  15(+50%+20%)  20(+50%+25%)  25(+50%+25%),1.06s  0.99s  0.93s  0.86s,9.4(47.1%14.1%)/s  15.1(50.3%20.1%)/s  21.6(54%27%)/s  28.9(57.9%28.9%)/s,x2 (0% chance)  x2.25 (0% chance)  x2.5 (0% chance)  x3 (0% chance),150  165  180  200,2  2  2  2,0  0  0  0,Always crits when hitting burning targets,15  31  61  122,Win a run with Chef
Stick,Primitive,8(100%)  9(100%)  10(100%)  12(100%),1.29s  1.22s  1.15s  1.09s,6.2(78%)/s  7.4(82%)/s  8.7(87%)/s  11(92%)/s,x1.5 (3%)  x1.5 (3%)  x1.5 (3%)  x1.5 (3%),175  175  175  175,0  0  0  0,0  0  0  0,Deals +4/+6/+8/+10 base damage for every additional stick you have,10  22  45  91,Default
Sword,"Blade, Medieval",-  25(100%)  40(100%)  60(100%),-  1.28s  1.13s  0.98s,-  19.5(78%)/s  35.4(88%)/s  61.2(102%)/s,-  x2 (3%)  x2 (3%)  x2 (3%),-  200  200  200,-  5  5  5,-  0  0  0,Alternates between thrusting and sweeping attacks,-  51  95  190,Default
Thief Dagger,Precise,6(50%)  12(50%)  18(50%)  30(50%),1.01s  0.93s  0.86s  0.73s,5.9(49%)/s  12.9(53%)/s  20.9(58%)/s  41.1(68%)/s,x2 (20%)  x2 (25%)  x2 (30%)  x2 (40%),150  150  150  150,2  2  2  2,0  0  0  0,50%/56%/62%/80% to gain 1 material when killing an enemy with a critical hit with this weapon,12  26  52  105,Default
Thunder Sword,"Blade, Elemental",-  -  30(125%125%)  60(150%150%),-  -  1.21s  1.06s,-  -  24.8(103%103%)/s  56.6(141%141%)/s,-  -  x2 (3%)  x2 (3%),-  -  200  200,-  -  5  5,-  -  0  0,Hitting an enemy spawns 2/4 projectiles that slow and damage enemies by 100%,-  -  119  238,Win a run with Mage
Torch,"Primitive, Elemental",1(50%50%)  1(65%65%)  1(80%80%)  1(100%100%),1.1s  1.04s  0.95s  0.8s,0.9(45%45%)/s  1.0(63%63%)/s  1.1(84%84%)/s  1.2(125%125%)/s,x1.5 (0%)  x1.5 (0%)  x1.5 (0%)  x1.5 (0%),175  175  175  175,20  20  20  20,0  0  0  0,Deals 3x3/5x5/8x6/12x9(100%) burning damage. Burning spreads to 0/0/1/1 additional nearby enemies.,10  22  45  91,Default
Trident(DLC),"Naval, Medieval",-  30(+100%+15%)  50(+100%+30%)  80(+100%+50%),-  1.58s  1.5s  1.41s,--  19(63.2%9.5%)/s  33.4(66.7%20%)/s  56.5(70.7%35.3%)/s,-  x2 (3% chance)  x2 (3% chance)  x2 (3% chance),-  325  325  325,-  0  0  0,-  0  0  0,+30%/+40%/+50% damage against targets above 80% health,-  52  96  200,Default
Vorpal Sword,"Blade, Medieval",-  20(100%)  35(100%)  55(100%),-  1.11s  1.03s  0.95s,-  18.0(90%)/s  34.0(97%)/s  57.9(105%)/s,-  x2 (3%)  x2 (3%)  x2 (3%),-  200  200  200,-  5  5  5,-  0  0  0,Alternates between thrusting and sweeping attacks -/1%/2%/3% chance to one shot the target when hitting it,-  55  100  200,Reach 100% Crit Chance
War Hammer(DLC),"Blunt, Heavy",-  -  100(+150%+100%)  180(+200%+150%),-  -  2.11s  1.95s,--  --  47.3(70.9%47.3%)/s  92.4(102.7%77%)/s,-  -  x1.5 (3% chance)  x1.5 (3% chance),-  -  200  200,-  -  20  25,-  -  0  0,Resets the cooldown of all offensive turrets when attacking,-  -  130  255,Win a run with Dwarf
Wrench,Tool,12(100%)  16(100%)  20(100%)  24(100%),1.7s  1.64s  1.55s  1.49s,7.1(58%)/s  9.8(60%)/s  12.9(64%)/s  16.1(67%)/s,x2 (3%)  x2 (3%)  x2 (3%)  x2 (3%),175  175  175  175,20  20  20  20,0  0  0  0,Spawns a Turret/Incendiary Turret/Laser Turret/Explosive Turret,20  39  74  149,Default
